# Gene set generated on 2022-09-20T13:31:02 using cellxgene version 1.1.0,,,
# Input data file was BloodGlyco.h5ad, which was last modified on 2022-09-16T10:10:25,,
gene_set_name,gene_set_description,gene_symbol,gene_description
all_modifiers,,NDST4,
all_modifiers,,CHST4,
all_modifiers,,NDST3,
all_modifiers,,CHST3,
all_modifiers,,CHST7,
all_modifiers,,HS3ST2,
all_modifiers,,NDST2,
all_modifiers,,CHST11,
all_modifiers,,CHST6,
all_modifiers,,TPST2,
all_modifiers,,CHST2,
all_modifiers,,GAL3ST2,
all_modifiers,,GAL3ST1,
all_modifiers,,HS3ST5,
all_modifiers,,CHST12,
all_modifiers,,HS6ST2,
all_modifiers,,CHST5,
all_modifiers,,HS3ST3A1,
all_modifiers,,CHST1,
all_modifiers,,HS3ST1,
all_modifiers,,UST,
all_modifiers,,NDST1,
all_modifiers,,CHST13,
all_modifiers,,HS3ST3B1,
all_modifiers,,HS6ST3,
all_modifiers,,HS6ST1,
all_modifiers,,HS2ST1,
all_modifiers,,HS3ST6,
all_modifiers,,GAL3ST4,
all_modifiers,,TPST1,
all_sulfation,,NDST3,
all_sulfation,,HS3ST3A1,
all_sulfation,,HS6ST3,
all_sulfation,,NDST4,
all_sulfation,,HS3ST1,
all_sulfation,,CHST15,
all_sulfation,,HS3ST4,
all_sulfation,,HS3ST5,
all_sulfation,,CHST14,
all_sulfation,,GAL3ST1,
all_sulfation,,HS3ST6,
all_sulfation,,CHST7,
all_sulfation,,HS3ST2,
all_sulfation,,UST,
all_sulfation,,GAL3ST2,
all_sulfation,,HS3ST3B1,
all_sulfation,,GAL3ST4,
all_sulfation,,CHST4,
all_sulfation,,CHST2,
all_sulfation,,NDST1,
all_sulfation,,CHST12,
all_sulfation,,CHST6,
all_sulfation,,GAL3ST3,
all_sulfation,,NDST2,
all_sulfation,,CHST1,
all_sulfation,,CHST3,
all_sulfation,,HS6ST2,
all_sulfation,,HS6ST1,
all_sulfation,,CHST5,
all_sulfation,,HS2ST1,
all_sulfation,,CHST13,
all_sulfation,,CHST11,
all_transp,,SLC2A4,
all_transp,,SLC35B2,
all_transp,,SLC2A8,
all_transp,,SLC35A1,
all_transp,,SLC2A12,
all_transp,,SLC35C1,
all_transp,,SLC35D1,
all_transp,,SLC35B4,
all_transp,,SLC2A3,
all_transp,,SLC35D2,
all_transp,,SLC35A3,
all_transp,,SLC35A2,
all_transp,,SLC2A10,
all_transp,,SLC2A1,
all_transp,,SLC35B3,
all_transp,,SLC2A2,
all_transp,,SLC2A5,
lyso_target,,NAGPA,
lyso_target,,GNPTG,
lyso_target,,M6PR,
lyso_target,,IGF2R,
lyso_target,,GNPTAB,
glycolipid_core_synth,,B3GALNT1,
glycolipid_core_synth,,PIGC,
glycolipid_core_synth,,PIGU,
glycolipid_core_synth,,PIGB,
glycolipid_core_synth,,DPM2,
glycolipid_core_synth,,PIGW,
glycolipid_core_synth,,B4GALNT1,
glycolipid_core_synth,,B4GALT6,
glycolipid_core_synth,,GPAA1,
glycolipid_core_synth,,PIGN,
glycolipid_core_synth,,B3GALT4,
glycolipid_core_synth,,B3GNT5,
glycolipid_core_synth,,PIGV,
glycolipid_core_synth,,A4GALT,
